,index,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,HA_Close,HA_Open,HA_High,HA_Low,RSI,HA_RSI,Date
40,2020-06-30,SBIN,EQ,179.25,181.1,182.9,177.25,179.05,178.45,179.88,43616291,784576710805000.0,211383,8345103,0.1913,179.925,183.52625706433838,183.52625706433838,177.25,41.37931034482759,43.603330809992464,2020-06-30
41,2020-07-01,SBIN,EQ,178.45,179.45,185.4,178.6,184.6,184.8,182.86,54015536,987726224315000.0,248849,10498374,0.19440000000000002,182.0625,181.7256285321692,185.4,178.6,57.73508594539939,49.057091190906746,2020-07-01
42,2020-07-02,SBIN,EQ,184.8,185.65,188.0,184.0,185.6,185.45,186.13,52127613,970237460360000.0,251208,7943823,0.1524,185.77499999999998,181.8940642660846,188.0,181.8940642660846,56.54885654885653,62.58193217440864,2020-07-02
43,2020-07-03,SBIN,EQ,185.45,186.65,186.85,183.4,184.65,184.7,184.82,38050996,703253851910000.0,169515,6310460,0.1658,185.39999999999998,183.83453213304227,186.85,183.4,62.672811059907836,61.51862464183376,2020-07-03
44,2020-07-06,SBIN,EQ,184.7,186.6,189.85,186.15,187.9,188.05,188.35,43789749,824796304170000.0,215925,9492655,0.21680000000000002,187.66250000000002,184.61726606652113,189.85,184.61726606652113,66.48531011969533,64.16758544652703,2020-07-06
45,2020-07-07,SBIN,EQ,188.05,187.0,189.2,184.05,188.0,188.6,186.66,55124984,1028940517390000.0,245296,7395581,0.1342,187.2125,186.13988303326056,189.2,184.05,66.84607104413348,67.14738967406976,2020-07-07
46,2020-07-08,SBIN,EQ,188.6,188.9,197.45,188.4,191.7,191.9,194.17,143083196,2778284548970000.0,620914,33127615,0.2315,191.6625,186.6761915166303,197.45,186.6761915166303,64.22764227642276,67.77934936350775,2020-07-08
47,2020-07-09,SBIN,EQ,191.9,192.8,201.0,192.55,199.85,199.1,196.73,89540860,1761545986925000.0,394257,18566358,0.2074,196.3625,189.16934575831516,201.0,189.16934575831516,66.07929515418502,66.51969429747206,2020-07-09
48,2020-07-10,SBIN,EQ,199.1,198.0,202.5,194.8,195.5,195.6,198.49,111410003,2211416277255000.0,501575,16941444,0.1521,197.725,192.76592287915759,202.5,192.76592287915759,58.64332603938731,63.516976297245314,2020-07-10
49,2020-07-13,SBIN,EQ,195.6,198.8,199.8,191.6,193.0,192.7,194.57,61952344,1205413866515000.0,271373,11005895,0.1777,195.72500000000002,195.24546143957878,199.8,191.6,50.28506271379704,56.642189586114846,2020-07-13
50,2020-07-14,SBIN,EQ,192.7,192.3,192.3,184.6,186.35,186.05,187.11,62243325,1164620201475000.0,308731,11999553,0.1928,188.8125,195.4852307197894,195.4852307197894,184.6,51.69988276670576,49.14567043150882,2020-07-14
51,2020-07-15,SBIN,EQ,186.05,187.95,189.95,183.0,184.5,183.8,186.97,58528072,1094321035785000.0,257119,8885886,0.15180000000000002,186.175,192.1488653598947,192.1488653598947,183.0,48.361581920903966,53.14751017851552,2020-07-15
52,2020-07-16,SBIN,EQ,183.8,185.0,186.95,181.65,186.0,186.25,184.69,46549518,859701719754999.9,222270,4223776,0.0907,184.9625,189.16193267994737,189.16193267994737,181.65,51.791530944625414,48.32954914044758,2020-07-16
53,2020-07-17,SBIN,EQ,186.25,186.8,189.5,185.0,189.5,188.2,186.87,47035751,878970969454999.9,214673,7773003,0.1653,187.375,187.0622163399737,189.5,185.0,60.49237983587338,58.990536277602516,2020-07-17
54,2020-07-20,SBIN,EQ,188.2,190.0,193.25,188.75,190.55,190.75,191.29,45680606,873835581825000.0,232252,7614254,0.16670000000000001,190.6875,187.21860816998685,193.25,187.21860816998685,63.85135135135137,64.18451400329488,2020-07-20
55,2020-07-21,SBIN,EQ,190.75,192.45,196.2,191.5,194.5,194.4,194.0,59286092,1150176080210000.0,274154,14017289,0.2364,193.6375,188.95305408499343,196.2,188.95305408499343,61.510791366906474,64.93548387096772,2020-07-21
56,2020-07-22,SBIN,EQ,194.4,195.7,196.75,190.1,192.15,192.0,192.7,62276770,1200099612335000.0,265443,9648381,0.1549,193.6375,191.2952770424967,196.75,190.1,57.53739930955122,61.22012129860864,2020-07-22
57,2020-07-23,SBIN,EQ,192.0,192.4,199.1,191.15,198.25,198.25,195.98,70802269,1387553634975000.0,303119,15316728,0.21630000000000002,195.225,192.46638852124835,199.1,191.15,63.840653728294185,63.551724137931046,2020-07-23
58,2020-07-24,SBIN,EQ,198.25,195.7,196.3,190.65,191.95,191.95,192.79,65266228,1258257667465000.0,277739,12514462,0.1917,193.64999999999998,193.84569426062416,196.3,190.65,53.757225433525996,58.418277680140534,2020-07-24
59,2020-07-27,SBIN,EQ,191.95,193.0,193.2,186.5,187.3,187.15,188.31,50714366,955026176179999.9,253742,8591985,0.1694,189.9625,193.74784713031207,193.74784713031207,186.5,48.70881567230633,53.54381443298969,2020-07-27
60,2020-07-28,SBIN,EQ,187.15,188.0,190.5,185.75,188.75,189.45,188.19,51490418,968985483675000.0,218359,8122193,0.1577,188.425,191.85517356515604,191.85517356515604,185.75,47.778785131459635,45.4893765238593,2020-07-28
61,2020-07-29,SBIN,EQ,189.45,187.6,195.25,187.0,191.05,191.2,192.35,73766851,1418933877220000.0,310167,10700813,0.1451,190.2625,190.140086782578,195.25,187.0,42.05231388329979,40.76457229371682,2020-07-29
62,2020-07-30,SBIN,EQ,191.2,192.5,193.5,186.05,186.85,186.55,189.37,48478733,918048085525000.0,231416,10830042,0.22340000000000002,189.64999999999998,190.201293391289,193.5,186.05,41.10127826941987,37.490317583268734,2020-07-30
63,2020-07-31,SBIN,EQ,186.55,188.0,194.85,186.7,191.05,191.45,191.75,145903102,2797705749520000.0,567541,19089678,0.1308,190.25,189.9256466956445,194.85,186.7,48.817407757805114,41.133603238866364,2020-07-31
